[04/12/2024 13:55:50] TypeError: db.sql is not a function
[04/12/2024 13:55:52] TypeError: db.sql is not a function
[04/12/2024 13:55:52] TypeError: db.sql is not a function
[04/12/2024 13:55:52] TypeError: db.sql is not a function
[04/12/2024 13:58:11] TypeError: db.sql is not a function
[04/12/2024 13:58:52] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 13:58:53] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 13:58:54] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 13:58:54] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 13:58:54] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 13:58:54] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:15] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:16] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:16] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:17] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:17] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:17] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:17] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:17] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:18] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:18] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:08:21] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:23] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:24] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:24] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:24] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:25] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:25] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:25] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:25] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:25] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:26] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:30] Error: Unknown column 'od.proudct_id' in 'on clause'
[04/12/2024 14:09:33] Error: Unknown column 'od.proudct_id' in 'on clause'
